group11,group4,shannon,simpson,ace,chao,coverage,sob
11,4,5.373892,0.019153,1172.278988,1181.375,0.994553,1082
11,4,4.944759,0.043052,1153.352003,1165,0.993566,1024
11,4,5.145974,0.037882,1451.890197,1475.036364,0.990502,1240
1,1,6.044117,0.011885,4720.319888,4001.757895,0.964323,2558
1,1,5.984068,0.010553,4702.125184,3901.714286,0.965277,2446
1,1,6.207943,0.008086,4588.323611,3992.811024,0.965038,2610
1,1,6.185632,0.007157,3760.163383,3870.634877,0.966264,2534
1,1,6.294095,0.00787,4988.168075,4205.804651,0.962247,2777
1,1,6.236484,0.007674,4786.009411,4047.299528,0.963677,2706
2,1,6.58118,0.004699,5821.042098,4890.691489,0.956051,3119
2,1,6.663071,0.003867,4883.621921,4888.546512,0.955472,3232
2,1,6.609494,0.004757,4803.069894,4671.465328,0.956766,3201
2,1,6.722912,0.003632,5766.528172,4879.050909,0.955302,3313
2,1,6.588817,0.004599,5666.705788,4651.522472,0.956902,3152
2,1,6.663375,0.00419,5859.876522,4965.405941,0.9552,3252
3,1,6.411629,0.003754,3969.023598,3453.311047,0.970485,2362
3,1,6.35104,0.003899,3078.965009,3055.898148,0.974468,2189
3,1,6.320284,0.004324,3981.746725,3437.428571,0.97137,2236
3,1,6.262739,0.004799,3179.069135,3276.278146,0.972766,2218
3,1,6.31458,0.004367,3154.030221,3159.280864,0.973481,2224
3,1,6.296161,0.004569,3538.007595,3036.944118,0.974332,2202
4,1,6.152468,0.015923,4196.32449,4105.757322,0.962417,2832
4,1,6.335999,0.011225,4956.013519,4328.414966,0.961906,2910
4,1,6.113594,0.013771,5301.745254,4432.834821,0.959557,2859
4,1,6.571188,0.006392,6208.596253,5194.256983,0.952306,3368
4,1,6.318596,0.007632,5266.57493,4312.368217,0.959796,2962
4,1,6.305318,0.007129,4157.047593,3990.152941,0.962791,2820
5,2,4.36795,0.039413,1341.268029,1290.28125,0.988766,951
5,2,4.98238,0.016453,1849.705669,1575.075472,0.986723,1098
5,2,4.943506,0.018832,1422.694431,1442.3125,0.988323,1035
5,2,5.275016,0.013629,2125.637431,1873.189655,0.984647,1290
5,2,5.774132,0.007459,2154.393905,2127.786611,0.982468,1574
5,2,4.916923,0.023929,1821.507939,1582.620482,0.98686,1135
6,2,6.565603,0.006625,5492.464878,4517.88225,0.95823,3196
6,2,6.574701,0.006368,5676.06146,4758.149312,0.956834,3180
6,2,6.610556,0.005884,5558.086364,4779.633663,0.957106,3209
6,2,6.614122,0.004964,5406.391679,4588.2,0.95874,3135
6,2,6.445112,0.007979,5415.233674,4569.041584,0.958502,3099
6,2,6.532175,0.005495,5545.884888,4528.376923,0.958332,3089
8,2,6.022092,0.008605,2929.499864,2887.165138,0.975557,2100
8,2,5.937855,0.007424,2697.24427,2688.120996,0.977055,1881
8,2,5.632339,0.011294,2103.827275,2072.776316,0.983047,1530
8,2,5.733376,0.012448,3413.28557,2982.363014,0.974264,2005
8,2,5.901132,0.008942,3334.175882,2871.577558,0.975115,1991
8,2,5.036077,0.022723,1781.446139,1800.784615,0.985089,1310
9,3,5.093842,0.041013,3005.800678,2583.776173,0.977055,1765
9,3,5.242485,0.029359,3035.439529,2547.391635,0.977498,1718
9,3,5.722917,0.016208,2916.673349,2899.352071,0.97457,2075
9,3,5.35189,0.023056,3023.396191,2521.466887,0.977294,1786
9,3,5.369024,0.024956,3142.030936,2712.881041,0.976204,1806
9,3,5.332668,0.02589,2835.963846,2436.796226,0.978826,1708
7,2,5.922176,0.017877,3724.008525,3753.276042,0.967149,2542
7,2,5.805101,0.020382,4269.255402,3794.077778,0.967047,2494
7,2,6.000589,0.011951,3429.140781,3468.763587,0.969974,2413
7,2,6.087413,0.011762,3918.571728,3887.785714,0.965243,2648
7,2,6.008585,0.01205,3540.322982,3548.894737,0.968749,2494
7,2,6.254043,0.009227,3810.538589,3740.622989,0.967251,2678
10,3,5.972866,0.014967,3519.324619,3564.627778,0.968783,2398
10,3,6.141021,0.009728,3371.109147,3363.890411,0.97103,2373
10,3,5.888078,0.012547,3644.941198,3095.861357,0.972664,2146
10,3,6.065785,0.011332,4174.849022,3494.79703,0.968511,2437
10,3,5.960576,0.012847,3726.834635,3145.044944,0.972221,2211
10,3,5.932265,0.013954,3418.361676,3342.454545,0.970179,2347
